,x,y,label
0,0.0,0.0,0.0
1,0.09999999999999999,0.0,0.0
2,0.19999999999999998,0.0,0.0
3,0.3,0.0,0.0
4,0.39999999999999997,0.0,0.0
5,0.49999999999999994,0.0,0.0
6,0.6,0.0,0.0
7,0.7,0.0,0.0
8,0.0,0.09999999999999999,0.0
9,0.09999999999999999,0.09999999999999999,0.0
10,0.19999999999999998,0.09999999999999999,0.0
11,0.3,0.09999999999999999,0.0
12,0.39999999999999997,0.09999999999999999,0.0
13,0.49999999999999994,0.09999999999999999,0.0
14,0.6,0.09999999999999999,0.0
15,0.7,0.09999999999999999,0.0
16,0.0,0.19999999999999998,0.0
17,0.09999999999999999,0.19999999999999998,0.0
18,0.19999999999999998,0.19999999999999998,0.0
19,0.3,0.19999999999999998,0.0
20,0.39999999999999997,0.19999999999999998,0.0
21,0.49999999999999994,0.19999999999999998,0.0
22,0.6,0.19999999999999998,0.0
23,0.7,0.19999999999999998,0.0
24,0.0,0.3,0.0
25,0.09999999999999999,0.3,0.0
26,0.19999999999999998,0.3,0.0
27,0.3,0.3,0.0
28,0.39999999999999997,0.3,0.0
29,0.49999999999999994,0.3,0.0
30,0.6,0.3,0.0
31,0.7,0.3,0.0
32,0.0,0.39999999999999997,0.0
33,0.09999999999999999,0.39999999999999997,0.0
34,0.19999999999999998,0.39999999999999997,0.0
35,0.3,0.39999999999999997,0.0
36,0.39999999999999997,0.39999999999999997,0.0
37,0.49999999999999994,0.39999999999999997,0.0
38,0.6,0.39999999999999997,0.0
39,0.7,0.39999999999999997,0.0
40,0.0,0.49999999999999994,0.0
41,0.09999999999999999,0.49999999999999994,0.0
42,0.19999999999999998,0.49999999999999994,0.0
43,0.3,0.49999999999999994,0.0
44,0.39999999999999997,0.49999999999999994,0.0
45,0.49999999999999994,0.49999999999999994,0.0
46,0.6,0.49999999999999994,0.0
47,0.7,0.49999999999999994,0.0
48,0.0,0.6,0.0
49,0.09999999999999999,0.6,0.0
50,0.19999999999999998,0.6,0.0
51,0.3,0.6,0.0
52,0.39999999999999997,0.6,0.0
53,0.49999999999999994,0.6,0.0
54,0.6,0.6,0.0
55,0.7,0.6,0.0
56,0.0,0.7,0.0
57,0.09999999999999999,0.7,0.0
58,0.19999999999999998,0.7,0.0
59,0.3,0.7,0.0
60,0.39999999999999997,0.7,0.0
61,0.49999999999999994,0.7,0.0
62,0.6,0.7,0.0
63,0.7,0.7,0.0
64,0.0,0.8,0.0
65,0.1,0.8,0.0
66,0.0,0.9,0.0
67,0.1,0.9,0.0
68,0.0,1.0,0.0
69,0.1,1.0,0.0
70,0.6,0.8,0.0
71,0.7,0.8,0.0
72,0.8,0.8,0.0
73,0.9,0.8,0.0
74,1.0,0.8,0.0
75,0.8,0.4,0.0
76,0.45,0.4,0.0
77,0.1,0.4,0.0
78,0.8,0.5,0.0
79,0.45,0.5,0.0
80,0.1,0.5,0.0
81,0.8,0.6,0.0
82,0.45,0.6,0.0
83,0.1,0.6,0.0
84,0.8,0.7,0.0
85,0.45,0.7,0.0
86,0.1,0.7,0.0
87,0.4,0.8,0.0
88,0.4,0.9,0.0
89,0.4,1.0,0.0
90,0.5,0.8,0.0
91,0.5,0.9,0.0
92,0.5,1.0,0.0
93,0.802239788912788,0.8966573105583123,1.0
94,0.8074459089784005,0.9138917150894315,1.0
95,0.18519527469282093,0.8991989047025929,1.0
96,0.3570602387711591,0.8712767656213137,1.0
97,0.30277238773844906,0.9024071280321377,1.0
98,0.29586199343245867,0.9249748669231741,1.0
99,0.2674156169931389,0.907769840824434,1.0
100,0.8381271257404675,0.21557827365110752,1.0
101,0.8280244382245054,0.3552615960515561,1.0
102,0.8166241725795205,0.23552093443749544,1.0
103,0.7727288559111927,0.2261429048915858,1.0
104,0.829600004984952,0.2145561730818072,1.0
105,0.7717109450948824,0.19347951119280374,1.0
106,0.793984236922289,0.15539072346709715,1.0
107,0.821485568573729,0.275541158114134,1.0
108,0.7723035558532477,0.14042736373397927,1.0
109,0.8152855806943107,0.20212489759862182,1.0
110,0.8109996381910665,0.15853301708721831,1.0
111,0.8496493928925245,0.28466941588043543,1.0
112,0.836046410047368,0.20624103060078908,1.0
113,0.816938027630213,0.23705791853499272,1.0
114,0.775858941299688,0.10320721861779024,1.0
115,0.77449080442488,0.2095201766456955,1.0
116,0.8665366201690108,0.266683097244316,1.0
117,0.7917396160819588,0.23283005106489726,1.0
118,0.8714853344780674,0.18212660802719016,1.0
119,0.8651184830306685,0.19944637512678245,1.0
120,0.9111274748867735,0.11568115477273098,1.0
121,0.7204591054285912,0.21812159855532107,1.0
122,0.8582352597790587,0.16480563948801333,1.0
123,0.8682009915500681,0.20273095640871677,1.0
124,0.8694945262598507,0.233902535918862,1.0
125,0.7979707715793253,0.16854492857031148,1.0
126,0.8671217865457144,0.1168567768211703,1.0
127,0.7831224547493293,0.26196449595381166,1.0
128,0.7766048663682277,0.17862353858151636,1.0
129,0.7275474407243602,0.2435232068509699,1.0
130,0.847458994879721,0.22708673372900387,1.0
131,0.8294595548515716,0.18993104424856339,1.0
132,0.7735679299999555,0.17241407622782037,1.0
133,0.7991723856246918,0.2721669301579819,1.0
134,0.8124843139334341,0.16616424110462974,1.0
135,0.8498052711050735,0.28899618654033055,1.0
136,0.7974197291913273,0.15124669740651195,1.0
137,0.8096939874745839,0.17125515178014705,1.0
138,0.7339010623946229,0.1777470909279758,1.0
139,0.8286566899637974,0.28732853579593887,1.0
140,0.9048338264836877,0.15983360793947185,1.0
141,0.8079805386057561,0.257727119390254,1.0
142,0.7998537685765945,0.12425335341277731,1.0
143,0.7678996831731085,0.2182530277449382,1.0
144,0.8598812669346133,0.18827962706005108,1.0
145,0.7481631087204836,0.2246884106784017,1.0
146,0.8073329629664234,0.23143093991566124,1.0
147,0.8590612462369726,0.13751832808661835,1.0
148,0.801377866892589,0.21273253225890207,1.0
149,0.8488689078140874,0.23036249086949717,1.0
